date,productId,тип,что_изменили,автор,примечание
2026-09-01,3090546,характеристики,Обязательные характеристики: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-09-01,3146144,цена,"Цена, сум: 66330 → 66000",авто,замечено автоматически по логу
2026-09-01,3169134,фото,Главное фото: d9r4b6s9g1ku9j5r6bi0 → daaork1e6phbsqqm6lig,авто,замечено автоматически по логу
2026-09-01,3169134,цена,"Цена, сум: 64350 → 65000",авто,замечено автоматически по логу
2026-09-01,3166329,фото,Главное фото: d9r3dcs9g1ku9j5r64hg → daak241e6phbsqqm397g,авто,замечено автоматически по логу
2026-09-01,3166329,цена,"Цена, сум: 306900 → 280000",авто,замечено автоматически по логу
2026-09-01,3165040,цена,"Цена, сум: 138600 → 94050",авто,замечено автоматически по логу
2026-09-01,3091096,характеристики,Обязательные характеристики: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-09-01,3150143,фото,Главное фото: d9oohh21146g73i305u0 → daaj3k2fa6ro5o4o1140,авто,замечено автоматически по логу
2026-09-01,3150143,цена,"Цена, сум: 26730 → 39600",авто,замечено автоматически по логу
2026-09-01,3155738,акция,Акция: 24.08-01.09 Успейте заказать/Xaridga ulguring → нет акции,авто,замечено автоматически по логу
2026-09-01,3155738,цена,"Цена, сум: 95000 → 90000",авто,замечено автоматически по логу
2026-09-01,3193069,цена,"Цена, сум: 1485000 → 650000",авто,замечено автоматически по логу
2026-09-01,3090481,характеристики,Обязательные характеристики: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-08-30,3146144,акция,Акция: 24.08-01.09 Успейте заказать/Xaridga ulguring → нет акции,авто,замечено автоматически по логу
2026-08-30,3146144,цена,"Цена, сум: 67000 → 66330",авто,замечено автоматически по логу
2026-08-30,3169134,акция,Акция: 24.08-01.09 Успейте заказать/Xaridga ulguring → нет акции,авто,замечено автоматически по логу
2026-08-30,3169134,цена,"Цена, сум: 65000 → 64350",авто,замечено автоматически по логу
2026-08-30,3166329,акция,Акция: 24.08-01.09 Успейте заказать/Xaridga ulguring → нет акции,авто,замечено автоматически по логу
2026-08-30,3166329,цена,"Цена, сум: 310000 → 306900",авто,замечено автоматически по логу
2026-08-30,3165040,акция,Акция: 24.08-01.09 Успейте заказать/Xaridga ulguring → нет акции,авто,замечено автоматически по логу
2026-08-30,3165040,цена,"Цена, сум: 140000 → 138600",авто,замечено автоматически по логу
2026-08-30,3150143,акция,Акция: 24.08-01.09 Успейте заказать/Xaridga ulguring → нет акции,авто,замечено автоматически по логу
2026-08-30,3150143,цена,"Цена, сум: 27000 → 26730",авто,замечено автоматически по логу
2026-08-30,3193069,акция,Акция: 24.08-01.09 Успейте заказать/Xaridga ulguring → нет акции,авто,замечено автоматически по логу
2026-08-30,3193069,цена,"Цена, сум: 1500000 → 1485000",авто,замечено автоматически по логу
2026-08-29,3155738,акция,Акция: 17.08-25.08 Скидки недели 3/Hafta chegirmalari 3 → 24.08-01.09 Успейте заказать/Xaridga ulguring,авто,замечено автоматически по логу
2026-08-28,3169134,акция,Акция: нет акции → 24.08-01.09 Успейте заказать/Xaridga ulguring,авто,замечено автоматически по логу
2026-08-28,3166329,акция,Акция: нет акции → 24.08-01.09 Успейте заказать/Xaridga ulguring,авто,замечено автоматически по логу
2026-08-28,3165040,акция,Акция: нет акции → 24.08-01.09 Успейте заказать/Xaridga ulguring,авто,замечено автоматически по логу
2026-08-28,3150143,акция,Акция: 17.08-25.08 Скидки недели 3/Hafta chegirmalari 3 → 24.08-01.09 Успейте заказать/Xaridga ulguring,авто,замечено автоматически по логу
2026-08-28,3193069,акция,Акция: 17.08-25.08 Скидки недели 3/Hafta chegirmalari 3 → 24.08-01.09 Успейте заказать/Xaridga ulguring,авто,замечено автоматически по логу
2026-08-27,3146144,акция,Акция: 17.08-25.08 Скидки недели 3/Hafta chegirmalari 3 → 24.08-01.09 Успейте заказать/Xaridga ulguring,авто,замечено автоматически по логу
2026-08-23,3150143,акция,Акция: нет акции → 17.08-25.08 Скидки недели 3/Hafta chegirmalari 3,авто,замечено автоматически по логу
2026-08-22,3146144,акция,Акция: нет акции → 17.08-25.08 Скидки недели 3/Hafta chegirmalari 3,авто,замечено автоматически по логу
2026-08-22,3155738,акция,Акция: нет акции → 17.08-25.08 Скидки недели 3/Hafta chegirmalari 3,авто,замечено автоматически по логу
2026-08-22,3193069,акция,Акция: нет акции → 17.08-25.08 Скидки недели 3/Hafta chegirmalari 3,авто,замечено автоматически по логу
2026-08-21,3169134,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-08-21,3166329,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-08-21,3165040,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-08-14,3169134,характеристики,Обязательные характеристики: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-08-14,3166329,характеристики,Обязательные характеристики: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-08-13,3090546,цена,"Цена, сум: 29600 → 29900",авто,замечено автоматически по логу
2026-08-13,3090040,цена,"Цена, сум: 48510 → 35000",авто,замечено автоматически по логу
2026-08-13,3091096,цена,"Цена, сум: 37620 → 38000",авто,замечено автоматически по логу
2026-08-13,3091264,цена,"Цена, сум: 44550 → 18000",авто,замечено автоматически по логу
2026-08-13,3150616,характеристики,Характеристики заполнены: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-08-13,3090271,цена,"Цена, сум: 48510 → 35000",авто,замечено автоматически по логу
2026-08-13,3067167,акция,Акция: 27.07-04.08 Чилля неделя 5/Chilla hafta 5 → нет акции,авто,замечено автоматически по логу
2026-08-13,3067167,цена,"Цена, сум: 79000 → 76630",авто,замечено автоматически по логу
2026-08-13,3090481,цена,"Цена, сум: 38610 → 39000",авто,замечено автоматически по логу
2026-08-13,3090856,цена,"Цена, сум: 20790 → 18000",авто,замечено автоматически по логу
2026-08-13,3091382,цена,"Цена, сум: 48510 → 18000",авто,замечено автоматически по логу
2026-08-12,3067167,акция,Акция: нет акции → 27.07-04.08 Чилля неделя 5/Chilla hafta 5,авто,замечено автоматически по логу
2026-08-12,3067167,цена,"Цена, сум: 78210 → 79000",авто,замечено автоматически по логу
2026-08-11,3165040,характеристики,Обязательные характеристики: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-08-07,3146144,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-08-07,3150143,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
2026-08-06,3146144,характеристики,Обязательные характеристики: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-08-06,3090040,фото,Главное фото: d9g8mtq1146g73hv2u90 → d9os16q1146g73i330l0,авто,замечено автоматически по логу
2026-08-04,3067167,акция,Акция: 27.07-04.08 Чилля неделя 5/Chilla hafta 5 → нет акции,авто,замечено автоматически по логу
2026-08-04,3067167,цена,"Цена, сум: 79000 → 78210",авто,замечено автоматически по логу
2026-08-03,3090546,цена,"Цена, сум: 29900 → 29600",авто,замечено автоматически по логу
2026-08-03,3090040,акция,Акция: 27.07-04.08 Чилля неделя 5/Chilla hafta 5 → нет акции,авто,замечено автоматически по логу
2026-08-03,3090040,цена,"Цена, сум: 49000 → 48510",авто,замечено автоматически по логу
2026-08-03,3091096,цена,"Цена, сум: 38000 → 37620",авто,замечено автоматически по логу
2026-08-03,3091264,цена,"Цена, сум: 45000 → 44550",авто,замечено автоматически по логу
2026-08-03,3090271,цена,"Цена, сум: 49000 → 48510",авто,замечено автоматически по логу
2026-08-03,3090481,цена,"Цена, сум: 39000 → 38610",авто,замечено автоматически по логу
2026-08-03,3090856,цена,"Цена, сум: 21000 → 20790",авто,замечено автоматически по логу
2026-08-03,3091382,цена,"Цена, сум: 49000 → 48510",авто,замечено автоматически по логу
2026-08-01,3067167,фото,Главное фото: d9ctc1i1146g73htil60 → d9ma8ss9g1ku9j5ofjh0,авто,замечено автоматически по логу
2026-08-01,3067167,цена,"Цена, сум: 89000 → 79000",авто,замечено автоматически по логу
2026-07-31,3090856,фото,"убрали коллаж, новый комплект по всем SKU",Костя,"3 общих кадра + галереи по 6 SKU, 28 файлов; коллаж удалён, а не переставлен (п. 5.7)"
2026-07-31,3090856,заголовок/SEO,"узбекские ключи ziraklar, taqinchoqlar (Серьги женские → Серьги женские «Ассорти», сережки бижутерия, 6 дизайнов)",Костя,снят дубль названия с карточкой 3091096; карточка ушла на повторную модерацию
2026-07-31,3090856,описание,"новое описание RU и UZ, добавлена гарантия, в UZ добавлены хвостовые ключи",Костя,"краткое и полное на двух языках; гарантия 6 месяцев; ключи baldoq, ayollar uchun bujiteriya, zargarlik buyumlari"
2026-07-31,3090856,характеристики,"закрыли 4 группы фильтров: материал вставки, вид сережек, стиль, тип вставки",Костя,бренд «отсутствует» уже стоял; покрытие украшения ждёт ответа Натальи
